player_slug,player_name,canonical_name,season_end,war
hezonma01,Mario Hezonja,mario hezonja,2020,-0.960839496954579
hibbero01,Roy Hibbert,roy hibbert,2017,0.316162577
hicksis01,Isaiah Hicks,isaiah hicks,2018,-0.784626342
hicksis01,Isaiah Hicks,isaiah hicks,2019,0.028587263
hieldbu01,Buddy Hield,buddy hield,2017,0.508943736
hieldbu01,Buddy Hield,buddy hield,2018,4.239852728
hieldbu01,Buddy Hield,buddy hield,2019,5.524852282
hieldbu01,Buddy Hield,buddy hield,2020,2.38501618598667
hieldbu01,Buddy Hield,buddy hield,2021,3.951639957647023
hieldbu01,Buddy Hield,buddy hield,2022,3.786037577976265
highsha01,Haywood Highsmith,haywood highsmith,2019,-0.21613697
highsha01,Haywood Highsmith,haywood highsmith,2022,-0.5742734322406056
hilarne01,Nene,nene,2017,3.250597683
hilarne01,Nene,nene,2018,2.524565781
hilarne01,Nene,nene,2019,1.382444584
hillge01,George Hill,george hill,2017,5.114290579
hillge01,George Hill,george hill,2018,4.039628438
hillge01,George Hill,george hill,2019,3.991390707
hillge01,George Hill,george hill,2020,4.50643845344229
hillge01,George Hill,george hill,2021,2.103646785354476
hillge01,George Hill,george hill,2022,2.399952671380035
hillida01,Darrun Hilliard,darrun hilliard,2017,-0.475985672
hillida01,Darrun Hilliard,darrun hilliard,2018,-0.271330355
hilljo01,Jordan Hill,jordan hill,2017,-0.208760496
hillma01,Malcolm Hill,malcolm hill,2022,0.1792571137483059
hillso01,Solomon Hill,solomon hill,2017,2.573641044
hillso01,Solomon Hill,solomon hill,2018,-0.335467161
hillso01,Solomon Hill,solomon hill,2019,-0.289657824
hillso01,Solomon Hill,solomon hill,2020,0.593652160397198
hillso01,Solomon Hill,solomon hill,2021,-0.2783316742199352
hillso01,Solomon Hill,solomon hill,2022,0.2994694503279706
hintona01,Nate Hinton,nate hinton,2021,-0.2962034836341647
hintona01,Nate Hinton,nate hinton,2022,-0.0015696227958868
hoardja01,Jaylen Hoard,jaylen hoard,2020,0.111085615744269
hoardja01,Jaylen Hoard,jaylen hoard,2021,-0.0011639774613079
hoardja01,Jaylen Hoard,jaylen hoard,2022,-0.4910670525371058
holidaa01,Aaron Holiday,aaron holiday,2019,1.464095003
holidaa01,Aaron Holiday,aaron holiday,2020,3.31335534906791
holidaa01,Aaron Holiday,aaron holiday,2021,0.3083334780054586
holidaa01,Aaron Holiday,aaron holiday,2022,1.356214928418125
holidjr01,Jrue Holiday,jrue holiday,2017,4.092000869
holidjr01,Jrue Holiday,jrue holiday,2018,12.06585539
holidjr01,Jrue Holiday,jrue holiday,2019,10.27363737
holidjr01,Jrue Holiday,jrue holiday,2020,8.09024610573477
holidjr01,Jrue Holiday,jrue holiday,2021,10.32002858087783
holidjr01,Jrue Holiday,jrue holiday,2022,10.2591474714889
holidju01,Justin Holiday,justin holiday,2017,2.229012438
holidju01,Justin Holiday,justin holiday,2018,3.383550437
holidju01,Justin Holiday,justin holiday,2019,2.497102817
holidju01,Justin Holiday,justin holiday,2020,5.23025595612963
holidju01,Justin Holiday,justin holiday,2021,3.680116113173555
holidju01,Justin Holiday,justin holiday,2022,-0.3846079736573603
hollajo02,John Holland,john holland,2018,-0.441664617
hollajo02,John Holland,john holland,2019,0.001433683
holliro01,Rondae Hollis-Jefferson,rondae hollis jefferson,2017,2.796902756
holliro01,Rondae Hollis-Jefferson,rondae hollis jefferson,2018,3.498920853
holliro01,Rondae Hollis-Jefferson,rondae hollis jefferson,2019,2.072850599
holliro01,Rondae Hollis-Jefferson,rondae hollis jefferson,2020,3.24816332017239
holliro01,Rondae Hollis-Jefferson,rondae hollis jefferson,2021,-0.019820622699622
holmeri01,Richaun Holmes,richaun holmes,2017,0.372865274
holmeri01,Richaun Holmes,richaun holmes,2018,0.310525102
holmeri01,Richaun Holmes,richaun holmes,2019,0.859137343
holmeri01,Richaun Holmes,richaun holmes,2020,2.43924835223704
holmeri01,Richaun Holmes,richaun holmes,2021,4.403715094835127
holmeri01,Richaun Holmes,richaun holmes,2022,-0.1084863219084693
hoodro01,Rodney Hood,rodney hood,2017,1.82188604
hoodro01,Rodney Hood,rodney hood,2018,-0.708965353
hoodro01,Rodney Hood,rodney hood,2019,2.961118914
hoodro01,Rodney Hood,rodney hood,2020,0.905969127652604
hoodro01,Rodney Hood,rodney hood,2021,-1.229156000279849
hoodro01,Rodney Hood,rodney hood,2022,-0.2704733808741794
hopsosc01,Scotty Hopson,scotty hopson,2018,-0.047591434
hopsosc01,Scotty Hopson,scotty hopson,2022,-0.0255926423870939
horfoal01,Al Horford,al horford,2017,5.353883404
horfoal01,Al Horford,al horford,2018,10.31920573
horfoal01,Al Horford,al horford,2019,7.61813156
horfoal01,Al Horford,al horford,2020,4.02884979835227
horfoal01,Al Horford,al horford,2021,2.208855820167745
horfoal01,Al Horford,al horford,2022,10.21464114681412
hortota01,Talen Horton-Tucker,talen horton tucker,2020,0.062514280048514
hortota01,Talen Horton-Tucker,talen horton tucker,2021,1.704904285141239
hortota01,Talen Horton-Tucker,talen horton tucker,2022,0.2552684418752125
houseda01,Danuel House Jr.,danuel house,2017,0.000424441
houseda01,Danuel House Jr.,danuel house,2018,0.92417966
houseda01,Danuel House Jr.,danuel house,2019,1.505499169
houseda01,Danuel House Jr.,danuel house,2020,3.04540662113261
houseda01,Danuel House Jr.,danuel house,2021,-1.336001245994321
houseda01,Danuel House Jr.,danuel house,2022,0.6855453336735002
howardw01,Dwight Howard,dwight howard,2017,4.727669466
howardw01,Dwight Howard,dwight howard,2018,0.547699074
howardw01,Dwight Howard,dwight howard,2019,-0.380269468
howardw01,Dwight Howard,dwight howard,2020,2.76722182297274
howardw01,Dwight Howard,dwight howard,2021,0.3984494439068902
howardw01,Dwight Howard,dwight howard,2022,0.5306591643093369
howarma02,Markus Howard,markus howard,2021,-0.993986753351894
howarma02,Markus Howard,markus howard,2022,0.3324990494413871
howarwi01,William Howard,william howard,2020,-0.178240931744982
huertke01,Kevin Huerter,kevin huerter,2019,1.035818287
huertke01,Kevin Huerter,kevin huerter,2020,-0.049666642001568
huertke01,Kevin Huerter,kevin huerter,2021,3.623895531527338
huertke01,Kevin Huerter,kevin huerter,2022,2.697404196416904
huertma01,Marcelo Huertas,marcelo huertas,2017,-0.202737949
huestjo01,Josh Huestis,josh huestis,2017,0.183473243
huestjo01,Josh Huestis,josh huestis,2018,0.457328792
huffja01,Jay Huff,jay huff,2022,0.1346095511056308
hugheel01,Elijah Hughes,elijah hughes,2021,-0.1915536023852228
